ID,Created,Title,Reason for desk reservation,DeskText,Reserved By,Check Out From,Check Out To,Check Out From Text,Check Out To Text,Check Out From Number,Check Out To Number,Service,Description,RoomReservation,Manager,Asset,RecurrenceFrequency,RecurrenceEndDate,MeetingCategory,RecurrenceID,RecurrenceDayName,RecurrenceTimes,OptionalAttendees,DeskFloor,IsRecurring,OutlookEventID,Created By,OutlookSeriesID,RecurrencePattern,ParentReservationID,Floor
22,10/9/2025 7:34,"lastName, firstName A. - Wyoming CBOC, RM1M103, Desk 9 @ 11/12/2025 08:00",,"Wyoming CBOC, RM1M103, Desk 9","lastName, firstName A.",11/12/25 8:00,11/12/25 15:00,11/12/2025 08:00,11/12/2025 15:00,45973.33,45973.63,Dental,,TRUE,"lastName, firstName A.",Desk,,11/12/2025,Super User Training,12,,,,"Wyoming CBOC, RM1M103",TRUE,,"lastName, firstName A.",,,,
23,10/9/2025 7:35,"lastName, firstName A. - Wyoming CBOC, RM1M103, Desk 9 @ 11/13/2025 13:00",,"Wyoming CBOC, RM1M103, Desk 9","lastName, firstName A.",11/13/25 13:00,11/13/25 15:00,11/13/2025 13:00,11/13/2025 15:00,45974.54,45974.63,dental,,TRUE,"lastName, firstName A.",Desk,,11/13/2025,Super User Training,13,,,,"Wyoming CBOC, RM1M103",TRUE,,"lastName, firstName A.",,,,
24,10/9/2025 12:00,"lastName, firstName A. - Wyoming CBOC, RM1M103, Desk 11 @ 11/05/2025 08:00",,"Wyoming CBOC, RM1M103, Desk 11","lastName, firstName A.",11/5/25 8:00,11/5/25 12:00,11/05/2025 08:00,11/05/2025 12:00,45966.33,45966.50,BOS,,TRUE,"lastName, firstName A.",Desk,,11/5/2025,Super User Training,14,,,,"Wyoming CBOC, RM1M103",TRUE,,"lastName, firstName A.",,,,
25,10/9/2025 12:01,"lastName, firstName A. - Wyoming CBOC, RM1M103, Desk 12 @ 11/05/2025 08:00",,"Wyoming CBOC, RM1M103, Desk 12","lastName, firstName A.",11/5/25 8:00,11/5/25 12:00,11/05/2025 08:00,11/05/2025 12:00,45966.33,45966.50,BOS,,TRUE,"lastName, firstName A.",Desk,,11/5/2025,Super User Training,15,,,,"Wyoming CBOC, RM1M103",TRUE,,"lastName, firstName A.",,,,
26,10/9/2025 12:02,"lastName, firstName A. - Wyoming CBOC, RM1M103, Desk 11 @ 11/07/2025 08:00",,"Wyoming CBOC, RM1M103, Desk 11","lastName, firstName A.",11/7/25 8:00,11/7/25 10:00,11/07/2025 08:00,11/07/2025 10:00,45968.33,45968.42,BOS,,TRUE,"lastName, firstName A.",Desk,,11/7/2025,Super User Training,16,,,,"Wyoming CBOC, RM1M103",TRUE,,"lastName, firstName A.",,,,
27,10/9/2025 12:02,"lastName, firstName A. - Wyoming CBOC, RM1M103, Desk 12 @ 11/07/2025 08:00",,"Wyoming CBOC, RM1M103, Desk 12","lastName, firstName A.",11/7/25 8:00,11/7/25 10:00,11/07/2025 08:00,11/07/2025 10:00,45968.33,45968.42,BOS,,TRUE,"lastName, firstName A.",Desk,,11/7/2025,Super User Training,16,,,,"Wyoming CBOC, RM1M103",TRUE,,"lastName, firstName A.",,,,
29,10/14/2025 9:47,"lastName, firstName A. - Bldg. 2, RM1317, Desk 6 @ 11/03/2025 08:00",,"Bldg. 2, RM1317, Desk 6","lastName, firstName A.",11/3/25 8:00,11/3/25 17:00,11/03/2025 08:00,11/03/2025 17:00,45964.33,45964.71,Ancillary,,TRUE,"lastName, firstName A.",Desk,,11/3/2025,Super User Training,18,,,,"Bldg. 2, RM1317",TRUE,,"lastName, firstName A.",,,,
31,10/14/2025 9:54,"lastName, firstName A. - Bldg. 2, RM1417, Desk 9 @ 11/04/2025 08:00",,"Bldg. 2, RM1417, Desk 9","lastName, firstName A.",11/4/25 8:00,11/4/25 17:00,11/04/2025 08:00,11/04/2025 17:00,45965.33,45965.71,Lab VILT Class 300,,TRUE,"lastName, firstName A.",Desk,,11/4/2025,Super User Training,19,,,,"Bldg. 2, RM1417",TRUE,,"lastName, firstName A.",,,,
34,10/14/2025 9:55,"lastName, firstName A. - Wyoming CBOC, RM1M103, Desk 9 @ 11/06/2025 08:00",Two screens if possible please,"Wyoming CBOC, RM1M103, Desk 9","lastName, firstName A.",11/6/25 8:00,11/6/25 12:00,11/06/2025 08:00,11/06/2025 12:00,45967.33,45967.50,BOS,Two screens if possible please,TRUE,"lastName, firstName A.",Desk,,11/6/2025,Super User Training,20,,,,"Wyoming CBOC, RM1M103",TRUE,,"lastName, firstName A.",,,,
37,10/14/2025 9:58,"lastName, firstName A. - Wyoming CBOC, RM1M103, Desk 9 @ 11/07/2025 08:00",Two screens if possible please,"Wyoming CBOC, RM1M103, Desk 9","lastName, firstName A.",11/7/25 8:00,11/7/25 10:00,11/07/2025 08:00,11/07/2025 10:00,45968.33,45968.42,BOS,Two screens if possible please,TRUE,"lastName, firstName A.",Desk,,11/7/2025,Super User Training,22,,,,"Wyoming CBOC, RM1M103",TRUE,,"lastName, firstName A.",,,,
39,10/14/2025 10:11,"lastName, firstName A. - Bldg. 2, RM1317, Desk 1  @ 11/05/2025 07:00",,"Bldg. 2, RM1317, Desk 1 ","lastName, firstName A.",11/5/25 7:00,11/5/25 16:00,11/05/2025 07:00,11/05/2025 16:00,45966.29,45966.67,specialty,,TRUE,"lastName, firstName A.",Desk,,11/5/2025,Super User Training,23,,,,"Bldg. 2, RM1317",TRUE,,"lastName, firstName A.",,,,
42,10/14/2025 10:15,"lastName, firstName A. - Bldg. 2, RM1317, Desk 6 @ 11/14/2025 08:00",,"Bldg. 2, RM1317, Desk 6","lastName, firstName A.",11/14/25 8:00,11/14/25 10:00,11/14/2025 08:00,11/14/2025 10:00,45975.33,45975.42,Ancillary,,TRUE,"lastName, firstName A.",Desk,,11/14/2025,Super User Training,25,,,,"Bldg. 2, RM1317",TRUE,,"lastName, firstName A.",,,,
45,10/14/2025 10:19,"lastName, firstName A. - Bldg. 6, RM317, Desk 1  @ 11/12/2025 08:00",,"Bldg. 6, RM317, Desk 1 ","lastName, firstName A.",11/12/25 8:00,11/12/25 17:00,11/12/2025 08:00,11/12/2025 17:00,45973.33,45973.71,Pharmacy,,TRUE,"lastName, firstName A.",Desk,,11/12/2025,Super User Training,27,,,,"Bldg. 6, RM317 ",TRUE,,"lastName, firstName A.",,,,
46,10/14/2025 10:20,"lastName, firstName A. - Bldg. 6, RM317, Desk 1  @ 11/13/2025 08:00",,"Bldg. 6, RM317, Desk 1 ","lastName, firstName A.",11/13/25 8:00,11/13/25 17:00,11/13/2025 08:00,11/13/2025 17:00,45974.33,45974.71,Pharmacy,,TRUE,"lastName, firstName A.",Desk,,11/13/2025,Super User Training,28,,,,"Bldg. 6, RM317 ",TRUE,,"lastName, firstName A.",,,,
52,10/15/2025 15:37,"lastName, firstName A. - Wyoming CBOC, RM1M103, Desk 1 @ 11/05/2025 08:00",,"Wyoming CBOC, RM1M103, Desk 1","lastName, firstName A.",11/5/25 8:00,11/5/25 12:00,11/05/2025 08:00,11/05/2025 12:00,45966.33,45966.50,BOS AMSA,,TRUE,"lastName, firstName A.",Desk,,11/5/2025,Super User Training,32,,,,"Wyoming CBOC, RM1M103",TRUE,,"lastName, firstName A.",,,,
60,10/15/2025 15:52,"lastName, firstName A. - Bldg. 6, RM317, Desk 5 @ 11/03/2025 08:00",,"Bldg. 6, RM317, Desk 5","lastName, firstName A.",11/3/25 8:00,11/3/25 12:00,11/03/2025 08:00,11/03/2025 12:00,45964.33,45964.50,Social Work Service,,TRUE,"lastName, firstName A.",Desk,,11/3/2025,Super User Training,37,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
